126,"Wellness Center 126",Rishon LeZion,135
127,"Fitness Hub 127",Ramat Gan,253
128,"Sports Center 128",Haifa,369
129,"Wellness Center 129",Tel Aviv,110
130,"Recreation Center 130",Netanya,329
131,"Wellness Center 131",Beersheba,371
132,"Fitness Hub 132",Petah Tikva,446
133,"Sports Center 133",Petah Tikva,341
134,"Community Hall 134",Ashdod,402
135,"Sport Arena 135",Petah Tikva,161
136,"Training Facility 136",Jerusalem,143
137,"Sports Center 137",Jerusalem,435
138,"Training Facility 138",Jerusalem,344
139,"Fitness Hub 139",Rishon LeZion,268
140,"Training Facility 140",Ramat Gan,291
141,"Fitness Hub 141",Ramat Gan,438
142,"Recreation Center 142",Haifa,158
143,"Sports Center 143",Ramat Gan,63
144,"Training Facility 144",Netanya,58
145,"Sport Arena 145",Netanya,429
146,"Wellness Center 146",Tel Aviv,478
147,"Sports Center 147",Haifa,79
148,"Athletic Complex 148",Petah Tikva,290
149,"Athletic Complex 149",Beersheba,388
150,"Athletic Complex 150",Ramat Gan,495
151,"Wellness Center 151",Haifa,107
152,"Sport Arena 152",Tel Aviv,185
153,"Sport Arena 153",Ashdod,268
154,"Wellness Center 154",Rishon LeZion,365
155,"Community Hall 155",Beersheba,87
156,"Recreation Center 156",Tel Aviv,385
157,"Wellness Center 157",Netanya,422
158,"Sports Center 158",Tel Aviv,91
159,"Community Hall 159",Tel Aviv,275
160,"Sport Arena 160",Jerusalem,295
161,"Fitness Hub 161",Petah Tikva,216
162,"Community Hall 162",Jerusalem,399
163,"Sports Center 163",Jerusalem,73
164,"Recreation Center 164",Rishon LeZion,492
165,"Wellness Center 165",Rishon LeZion,219
166,"Sport Arena 166",Netanya,54
167,"Sport Arena 167",Holon,469
168,"Training Facility 168",Rishon LeZion,116
169,"Fitness Hub 169",Netanya,98
170,"Sports Center 170",Beersheba,268
171,"Sports Center 171",Haifa,352
172,"Sports Center 172",Petah Tikva,115
173,"Sports Center 173",Netanya,304
174,"Wellness Center 174",Ashdod,242
175,"Sport Arena 175",Jerusalem,304
176,"Sports Center 176",Rishon LeZion,455
177,"Training Facility 177",Beersheba,457
178,"Wellness Center 178",Ashdod,273
179,"Sport Arena 179",Ramat Gan,471
180,"Athletic Complex 180",Petah Tikva,210
181,"Wellness Center 181",Rishon LeZion,411
182,"Recreation Center 182",Rishon LeZion,185
183,"Recreation Center 183",Ramat Gan,392
184,"Fitness Hub 184",Tel Aviv,461
185,"Training Facility 185",Haifa,279
186,"Community Hall 186",Holon,269
187,"Training Facility 187",Ramat Gan,434
188,"Wellness Center 188",Ramat Gan,316
189,"Athletic Complex 189",Jerusalem,407
190,"Fitness Hub 190",Jerusalem,122
191,"Wellness Center 191",Haifa,342
192,"Recreation Center 192",Ramat Gan,239
193,"Recreation Center 193",Netanya,183
194,"Recreation Center 194",Holon,218
195,"Athletic Complex 195",Rishon LeZion,388
196,"Recreation Center 196",Ramat Gan,217
197,"Community Hall 197",Netanya,174
198,"Sport Arena 198",Ramat Gan,148
199,"Fitness Hub 199",Tel Aviv,314
200,"Athletic Complex 200",Jerusalem,140
