130,"Cycling 130",20,236.07,60,156
131,"Cycling 131",19,314.77,42,40
132,"Pilates 132",8,345.13,45,2
133,"Basketball Basics 133",20,478.43,31,189
134,"Volleyball Skills 134",13,431.11,71,149
135,"Running Club 135",6,421.81,48,192
136,"Soccer Training 136",11,408.15,30,22
137,"Volleyball Skills 137",20,255.01,40,57
138,"Basketball Basics 138",9,247.66,90,175
139,"Boxing 139",14,456.20,49,20
140,"Soccer Training 140",8,268.38,81,130
141,"Boxing 141",15,410.40,40,181
142,"Basketball Basics 142",20,408.93,49,33
143,"Fitness Training 143",19,360.88,30,77
144,"Basketball Basics 144",6,352.32,66,130
145,"Fitness Training 145",6,488.77,51,10
146,"Pilates 146",20,276.34,44,39
147,"Soccer Training 147",13,344.30,32,102
148,"Fitness Training 148",13,276.46,67,90
149,"Fitness Training 149",15,370.92,42,156
150,"Dance 150",5,276.60,54,46
151,"Tennis Lessons 151",8,194.29,56,23
152,"Gymnastics 152",13,420.14,33,16
153,"Aerobics 153",16,398.37,65,140
154,"Soccer Training 154",6,291.16,78,110
155,"Volleyball Skills 155",12,273.34,52,12
156,"Swimming 156",17,248.53,52,3
157,"Basketball Basics 157",10,448.76,60,119
158,"Soccer Training 158",11,159.11,60,50
159,"Running Club 159",5,238.10,69,149
160,"Dance 160",17,394.97,59,125
161,"Soccer Training 161",20,446.79,87,19
162,"Aerobics 162",8,336.40,46,181
163,"Aerobics 163",20,473.28,50,155
164,"Tennis Lessons 164",13,163.71,86,18
165,"Swimming 165",18,356.51,41,107
166,"Pilates 166",20,375.42,61,129
167,"Tennis Lessons 167",10,497.14,38,88
168,"Basketball Basics 168",12,463.20,40,178
169,"Fitness Training 169",9,319.60,39,105
170,"Aerobics 170",8,495.63,48,172
171,"Running Club 171",9,411.18,57,8
172,"Tennis Lessons 172",12,395.97,35,110
173,"Basketball Basics 173",6,250.11,61,179
174,"Volleyball Skills 174",19,368.64,88,190
175,"Boxing 175",8,399.24,84,133
176,"Boxing 176",13,476.63,47,57
177,"Soccer Training 177",15,299.42,65,95
178,"Running Club 178",7,288.60,82,129
179,"Martial Arts 179",5,261.79,43,5
180,"Dance 180",14,414.71,86,85
181,"Boxing 181",19,416.53,48,48
182,"Swimming 182",19,421.36,39,103
183,"Basketball Basics 183",9,446.17,75,122
184,"Gymnastics 184",12,290.32,44,116
185,"Swimming 185",7,189.66,85,98
186,"Cycling 186",11,423.45,59,124
187,"Soccer Training 187",19,236.07,38,64
188,"Tennis Lessons 188",19,204.18,84,88
189,"Yoga for Kids 189",20,269.26,31,175
190,"Boxing 190",17,365.84,37,177
191,"Volleyball Skills 191",6,218.92,31,106
192,"Aerobics 192",10,433.84,66,107
193,"Dance 193",11,155.62,36,72
194,"Boxing 194",11,207.27,63,81
195,"Running Club 195",15,195.18,87,137
196,"Soccer Training 196",20,352.47,34,90
197,"Martial Arts 197",10,278.91,51,106
198,"Gymnastics 198",12,316.99,60,194
199,"Basketball Basics 199",18,208.13,90,110
200,"Tennis Lessons 200",13,328.94,57,131
